Team,Date,Opponent,Inn,Batter,Event,Sit Before,Sit After,Best Sit,Worst Sit,Success?,1B,Fielder,Pos,Hand,F/B,Direction,Distance,Velo
LAD,5/25,Reds,3,Spencer Steer,5-3,000 2,000 3,000 3,100 2,Yes,Freddie Freeman,Enrique Hernandez,3B,RH,Fore,S,Long,85.8
LAD,5/25,Reds,6,Spencer Steer,6-4-3 DP,100 1,000 3,000 3,010 2,Yes,Freddie Freeman,Gavin Lux,2B,RH,Back,S,Stretch,75
LAD,5/26,Reds,8,Jonathan India,6-3,000 0,000 1,000 1,100 0,Yes,Freddie Freeman,Mookie Betts,SS,RH,Back,S,Short,78.3
LAD,6/1,Rockies,3,Ezeuqiel Tovar,1B,000 1,100 1,100 1,100 1,Yes,Freddie Freeman,Gavin Lux,2B,RH,Back,S,Long,75
LAD,6/6,Pirates,2,Henry Davis,E5,010 2,101 2,000 3,101 2,No,Freddie Freeman,Enrique Hernandez,3B,RH,Back,S,Stretch,85.8
LAD,6/6,Pirates,5,Nick Gonzales,5-3,000 1,000 2,000 2,100 1,Yes,Freddie Freeman,Enrique Hernandez,3B,RH,Back,R,Stretch,85.8
LAD,6/6,Pirates,6,Andrew McCutchen,E6,000 1,100 1,000 2,100 1,No,Enrique Hernandez,Mookie Betts,SS,RH,Fore,L,Long,78.3
LAD,6/6,Pirates,8,Nick Gonzales,6-3,100 2,000 3,000 3,011 2,Yes,Enrique Hernandez,Mookie Betts,SS,RH,Fore,L,Long,78.3
LAD,6/11,Rangers,3,Robbie Grossman,1B,000 2,100 2,100 2,100 2,Yes,Freddie Freeman,Mookie Betts,SS,RH,Fore,L,Long,78.3
LAD,6/12,Rangers,2,Wyatt Langford,1B,000 1,100 1,100 1,100 1,Yes,Freddie Freeman,Cavan Biggio,3B,RH,Back,S,Long,77.3
LAD,6/17,Rockies,6,Brenton Doyle,6-3,000 1,000 2,000 2,100 1,Yes,Freddie Freeman,Miguel Rojas,SS,RH,Fore,S,Stretch,84.1
LAD,6/20,Rockies,1,Brenton Doyle,6-3,000 0,000 1,000 1,100 0,Yes,Freddie Freeman,Miguel Rojas,SS,RH,Back,S,Short,84.1
LAD,6/20,Rockies,2,Jake Cave,1B,000 2,100 2,100 2,100 2,Yes,Freddie Freeman,Enrique Hernandez,3B,RH,Fore,S,Long,85.8
LAD,6/21,Angels,7,Luis Rengifo,5-3,100 2,000 3,000 3,011 2,Yes,Freddie Freeman,Enrique Hernandez,3B,RH,Fore,S,Stretch,85.8
LAD,6/25,White Sox,1,Luis Robert Jr,1B,000 0,100 0,100 0,100 0,Yes,Freddie Freeman,Gavin Lux,2B,RH,Fore,L,Long,75
LAD,7/4,Diamondbacks,8,Gabriel Moreno,1B,000 1,100 1,000 2,100 1,No,Freddie Freeman,Enrique Hernandez,SS,RH,Fore,L,Short,86.3
LAD,7/9,Phillies,8,Whit Merrifield,5-3,000 0,000 1,000 1,100 0,Yes,Cavan Biggio,Chris Taylor,3B,RH,Back,S,Short,88.4
LAD,7/23,Giants,3,Thairo Estrada,E5,000 0,100 0,100 0,100 0,Yes,Freddie Freeman,Cavan Biggio,3B,RH,Fore,S,Long,77.3
LAD,7/31,Padres,3,Donovan Solano,5-3,000 1,000 2,000 2,100 1,Yes,Cavan Biggio,Enrique Hernandez,3B,RH,Fore,L,Stretch,85.8
LAD,8/2,A's,4,Zack Gelof,6-3,000 1,000 2,000 2,100 1,Yes,Cavan Biggio,Nick Ahmed,SS,RH,Back,S,Stretch,78.8
LAD,8/28,Orioles,2,Ryan O'Hearn,E5,000 1,100 1,000 2,100 1,No,Enrique Hernandez,Max Muncy,3B,RH,Fore,S,Stretch,84.1
LAD,9/1,Diamondbacks,7,Kevin Newman,1B E6,011 2,010 2 +2,000 3,010 2 +2,No,Enrique Hernandez,Tommy Edman,SS,RH,Back,S,Stretch,82.4
LAD,9/9,Cubs,3,Dansby Swanson,5-3,000 0,000 1,000 1,100 0,Yes,Freddie Freeman,Max Muncy,3B,RH,Back,S,Short,84.1
LAD,9/18,Marlins,7,Xavier Edwards,E5,000 2,100 2,000 3,100 2,No,Freddie Freeman,Enrique Hernandez,3B,RH,Back,S,Stretch,85.8
LAD,9/21,Rockies,6,Sam Hilliard,1B,000 1,100 1,100 1,100 1,No,Freddie Freeman,Miguel Rojas,SS,RH,Fore,S,Stretch,84.1
LAD,9/25,Padres,1,Luis Arraez,5-3,000 0,000 1,000 1,100 0,Yes,Freddie Freeman,Max Muncy,3B,RH,Back,S,Long,84.1
LAD,9/27,Rockies,9,Jordan Beck,E6,010 2,101 2,000 3,101 2,No,Enrique Hernandez,Tommy Edman,SS,RH,Back,R,Short,82.4
MIA,3/28,Pirates,6,Henry Davis,1B,110 1,111 1,111 1,111 1,No,Josh Bell,Tim Anderson,SS,RH,Back,S,Stretch,85.4
